group,variable,value
h23,v29,0
h23,v30,0
h23,v31,0
h24,v1,0
h24,v2,0
h24,v3,0
h24,v4,0
h24,v5,0
h24,v6,0
h24,v7,0
h24,v8,0
h24,v9,0
h24,v10,0
h24,v11,0
h24,v12,0
h24,v13,0
h24,v14,0
h24,v15,0
h24,v16,0
h24,v17,0
h24,v18,0
h24,v19,0
h24,v20,0
h24,v21,0
h24,v22,0
h24,v23,0
h24,v24,0
h24,v25,0
h24,v26,0
h24,v27,0
h24,v28,0
h24,v29,0
h24,v30,0
h24,v31,0
h25,v1,0
h25,v2,0.634461
h25,v3,0.473344
h25,v4,0.824399
h25,v5,0
h25,v6,0
h25,v7,0
h25,v8,0
h25,v9,0
h25,v10,0
h25,v11,0
h25,v12,0
h25,v13,0
h25,v14,0
h25,v15,0
h25,v16,0
h25,v17,0
h25,v18,0
h25,v19,0
h25,v20,0
h25,v21,0
h25,v22,0
h25,v23,0
h25,v24,0
h25,v25,0
h25,v26,0
h25,v27,0
h25,v28,0
h25,v29,0
h25,v30,0
h25,v31,0
h26,v1,0
h26,v2,0.351396
h26,v3,0.350584
h26,v4,0.379953
h26,v5,0
h26,v6,0
h26,v7,0
h26,v8,0
h26,v9,0
h26,v10,0
h26,v11,0
h26,v12,0
h26,v13,0
h26,v14,0
h26,v15,0
h26,v16,0
h26,v17,0
h26,v18,0
h26,v19,0
h26,v20,0
h26,v21,0
h26,v22,0
h26,v23,0
h26,v24,0
h26,v25,0
h26,v26,0
h26,v27,0
h26,v28,0
h26,v29,0
h26,v30,0
h26,v31,0
h27,v1,0
h27,v2,0.233503
h27,v3,0.159052
h27,v4,0.40796
h27,v5,0
h27,v6,0
h27,v7,0
h27,v8,0
h27,v9,0
h27,v10,0
h27,v11,0
h27,v12,0
h27,v13,0
h27,v14,0
h27,v15,0
h27,v16,0
h27,v17,0
h27,v18,0
h27,v19,0
h27,v20,0
h27,v21,0
h27,v22,0
h27,v23,0
h27,v24,0
h27,v25,0
h27,v26,0
h27,v27,0
h27,v28,0
h27,v29,0
h27,v30,0
h27,v31,0
h28,v1,0
h28,v2,0.599668
h28,v3,0.716586
